Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","212","Syrian Arab Republic","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2240000","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","208","Tajikistan","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","450284","","Official data"
"QL","Livestock Primary","216","Thailand","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","12756956","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","176","Timor-Leste","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","28025","F","FAO estimate"
"QL","Livestock Primary","217","Togo","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","242111","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","218","Tokelau","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","170","F","FAO estimate"
"QL","Livestock Primary","219","Tonga","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","6100","F","FAO estimate"
"QL","Livestock Primary","220","Trinidad and Tobago","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","64545","F","FAO estimate"
"QL","Livestock Primary","222","Tunisia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2139424","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","223","Turkey","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","19643711","","Official data"
"QL","Livestock Primary","213","Turkmenistan","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","827841","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","227","Tuvalu","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","491","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","226","Uganda","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","750000","F","FAO estimate"
"QL","Livestock Primary","230","Ukraine","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","15970700","","Official data"
"QL","Livestock Primary","225","United Arab Emirates","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","950000","F","FAO estimate"
"QL","Livestock Primary","229","United Kingdom of Great Britain and Northern Ireland","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","13303000","","Official data"
"QL","Livestock Primary","215","United Republic of Tanzania","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1810000","F","FAO estimate"
"QL","Livestock Primary","231","United States of America","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","109192100","","Official data"
"QL","Livestock Primary","240","United States Virgin Islands","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","3391","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","234","Uruguay","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","752400","","Official data"
"QL","Livestock Primary","235","Uzbekistan","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","7425629","","Official data"
"QL","Livestock Primary","155","Vanuatu","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","16103","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","236","Venezuela (Bolivarian Republic of)","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","2880000","F","FAO estimate"
"QL","Livestock Primary","237","Viet Nam","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","11645600","","Official data"
"QL","Livestock Primary","243","Wallis and Futuna Islands","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1000","F","FAO estimate"
"QL","Livestock Primary","249","Yemen","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1090829","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","251","Zambia","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","1052000","F","FAO estimate"
"QL","Livestock Primary","181","Zimbabwe","5513","Production","1067","Eggs, hen, in shell (number)","2018","2018","1000 No","514522","Im","FAO data based on imputation methodology"
